"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20260401","7호선","남구로","17856","18884","20260404",""
"20260401","7호선","어린이대공원(세종대)","23715","24851","20260404",""
"20260401","7호선","건대입구","17176","17571","20260404",""
"20260401","7호선","자양(뚝섬한강공원)","13273","12921","20260404",""
"20260401","7호선","청담","21731","23370","20260404",""
"20260401","7호선","강남구청","19035","21020","20260404",""
"20260401","7호선","학동","27227","27944","20260404",""
"20260401","7호선","논현","21966","22559","20260404",""
"20260401","7호선","반포","7999","7659","20260404",""
"20260401","7호선","고속터미널","18043","16449","20260404",""
"20260401","7호선","내방","17832","17886","20260404",""
"20260401","7호선","이수","19770","19402","20260404",""
"20260401","7호선","남성","13159","12821","20260404",""
"20260401","7호선","숭실대입구(살피재)","18970","19313","20260404",""
"20260401","7호선","상도","15302","15423","20260404",""
"20260401","7호선","장승배기","11306","11037","20260404",""
"20260401","7호선","신대방삼거리","17417","16888","20260404",""
"20260401","7호선","보라매","7823","8297","20260404",""
"20260401","7호선","신풍","14034","13317","20260404",""
"20260401","7호선","대림(구로구청)","9421","9333","20260404",""
"20260401","7호선","가산디지털단지","52486","53477","20260404",""
"20260401","7호선","철산","26294","27009","20260404",""
"20260401","7호선","광명사거리","26068","25670","20260404",""
"20260401","7호선","천왕","14157","13754","20260404",""
"20260401","7호선","온수(성공회대입구)","12747","11667","20260404",""
"20260401","8호선","암사역사공원","8718","7646","20260404",""
"20260401","8호선","암사","18521","17209","20260404",""
"20260401","8호선","천호(풍납토성)","20274","22661","20260404",""
"20260401","8호선","강동구청","12518","12948","20260404",""
"20260401","8호선","몽촌토성(평화의문)","9822","9870","20260404",""
"20260401","8호선","잠실(송파구청)","24109","26996","20260404",""
"20260401","8호선","석촌","11371","13581","20260404",""
"20260401","8호선","송파","11677","11474","20260404",""
"20260401","8호선","가락시장","9830","10660","20260404",""
"20260401","8호선","문정","27840","29189","20260404",""
"20260401","8호선","장지","20131","18560","20260404",""
"20260401","8호선","복정","12120","10317","20260404",""
"20260401","8호선","산성","7437","7705","20260404",""
"20260401","8호선","남한산성입구(성남법원.검찰청)","16782","15615","20260404",""
"20260401","8호선","단대오거리","14691","13977","20260404",""
"20260401","8호선","신흥","6160","6268","20260404",""
"20260401","8호선","수진","6543","6247","20260404",""
"20260401","8호선","모란","5632","4408","20260404",""
"20260401","8호선","남위례","9927","9862","20260404",""
"20260401","9호선","개화","2908","1978","20260404",""
"20260401","9호선","김포공항","6061","10921","20260404",""
"20260401","9호선","공항시장","3180","3384","20260404",""
"20260401","9호선","신방화","8116","8055","20260404",""
"20260401","9호선","마곡나루(서울식물원)","18198","17771","20260404",""
"20260401","9호선","양천향교","13302","13796","20260404",""
"20260401","9호선","가양","25529","25016","20260404",""
"20260401","9호선","증미","9640","9412","20260404",""
"20260401","9호선","등촌","14664","14138","20260404",""
"20260401","9호선","염창","20704","19890","20260404",""
"20260401","9호선","신목동","5567","5098","20260404",""
"20260401","9호선","선유도","11425","10482","20260404",""
"20260401","9호선","당산","21937","21625","20260404",""
"20260401","9호선","국회의사당","24951","25026","20260404",""
"20260401","9호선","여의도","37040","36068","20260404",""
"20260401","9호선","샛강","8283","8162","20260404",""
"20260401","9호선","노량진","30147","30398","20260404",""
"20260401","9호선","노들","5699","4772","20260404",""
"20260401","9호선","흑석(중앙대입구)","13048","13188","20260404",""
"20260401","9호선","동작(현충원)","2839","2504","20260404",""
"20260401","9호선","구반포","2872","2554","20260404",""
"20260401","9호선","신반포","5690","5624","20260404",""
"20260401","9호선","고속터미널","15843","20296","20260404",""
"20260401","9호선","사평","4852","4771","20260404",""
"20260401","9호선","신논현","33578","33826","20260404",""
"20260401","공항철도 1호선","서울역","13144","11436","20260404",""
"20260401","공항철도 1호선","공덕","3614","4584","20260404",""
"20260401","공항철도 1호선","홍대입구","16047","15760","20260404",""
"20260401","공항철도 1호선","디지털미디어시티","17426","16365","20260404",""
"20260401","공항철도 1호선","마곡나루(서울식물원)","18933","18051","20260404",""
"20260401","공항철도 1호선","김포공항","9695","5578","20260404",""
"20260401","공항철도 1호선","계양","10241","10413","20260404",""
"20260401","공항철도 1호선","검암","7128","6978","20260404",""
"20260401","공항철도 1호선","청라국제도시","9184","8717","20260404",""
"20260401","공항철도 1호선","운서","10773","11176","20260404",""
"20260401","공항철도 1호선","공항화물청사","2231","2343","20260404",""
"20260401","공항철도 1호선","인천공항1터미널","13721","11213","20260404",""
"20260401","공항철도 1호선","인천공항2터미널","11658","9076","20260404",""
"20260401","공항철도 1호선","영종","4871","4967","20260404",""
"20260401","9호선2~3단계","언주","13434","13755","20260404",""
"20260401","9호선2~3단계","선정릉","12293","13154","20260404",""
"20260401","9호선2~3단계","삼성중앙","9713","9917","20260404",""
"20260401","9호선2~3단계","봉은사","23663","24670","20260404",""
"20260401","9호선2~3단계","종합운동장","5789","6041","20260404",""
"20260401","9호선2~3단계","삼전","9981","9427","20260404",""
"20260401","9호선2~3단계","석촌고분","8937","8878","20260404",""
"20260401","9호선2~3단계","석촌","12168","11830","20260404",""
"20260401","9호선2~3단계","송파나루","6937","7328","20260404",""
"20260401","9호선2~3단계","한성백제","3873","3498","20260404",""
"20260401","9호선2~3단계","올림픽공원(한국체대)","7724","8150","20260404",""
"20260401","9호선2~3단계","둔촌오륜","5318","5235","20260404",""
"20260401","9호선2~3단계","중앙보훈병원","15577","13621","20260404",""
"20260401","우이신설선","북한산우이","3358","3103","20260404",""
"20260401","우이신설선","솔밭공원","3048","2849","20260404",""
"20260401","우이신설선","4.19민주묘지","5200","5129","20260404",""
"20260401","우이신설선","가오리","4989","4979","20260404",""
"20260401","우이신설선","화계","4419","4138","20260404",""
"20260401","우이신설선","삼양","2947","3095","20260404",""
"20260401","우이신설선","삼양사거리","3210","3209","20260404",""
"20260401","우이신설선","솔샘","6854","6633","20260404",""
"20260401","우이신설선","북한산보국문","7633","7147","20260404",""
"20260401","우이신설선","정릉","5628","5066","20260404",""
"20260401","우이신설선","성신여대입구(돈암)","4472","4779","20260404",""
"20260401","우이신설선","보문","2060","2027","20260404",""
"20260401","우이신설선","신설동","2969","2750","20260404",""
"20260401","신림선","샛강","3826","4548","20260404",""
"20260401","신림선","대방","4002","3090","20260404",""
"20260401","신림선","서울지방병무청","3663","4086","20260404",""
"20260401","신림선","보라매","5474","5055","20260404",""
"20260401","신림선","보라매공원","2870","3285","20260404",""
"20260401","신림선","보라매병원","9837","10186","20260404",""
"20260401","신림선","당곡","5565","5259","20260404",""
"20260401","신림선","신림","2572","3116","20260404",""
"20260401","신림선","서원","4030","3690","20260404",""
"20260401","신림선","서울대벤처타운","11418","10707","20260404",""
"20260401","신림선","관악산(서울대)","3920","3703","20260404",""
"20260401","1호선","서울역","84050","80764","20260404",""
"20260401","1호선","시청","31698","31850","20260404",""
"20260401","1호선","종각","46810","45566","20260404",""
"20260401","1호선","종로3가","27731","24503","20260404",""
"20260401","1호선","종로5가","26648","26386","20260404",""
"20260401","1호선","동대문","13746","12944","20260404",""
"20260401","1호선","신설동","16408","15906","20260404",""
"20260401","1호선","제기동","17604","17875","20260404",""
"20260401","1호선","청량리(서울시립대입구)","25831","25412","20260404",""
"20260401","1호선","동묘앞","10308","10631","20260404",""
"20260401","2호선","시청","32819","30642","20260404",""
"20260401","2호선","을지로입구","60605","61948","20260404",""
"20260401","2호선","을지로3가","30125","30237","20260404",""
"20260401","2호선","을지로4가","17537","17105","20260404",""
"20260401","2호선","동대문역사문화공원(DDP)","16914","19436","20260404",""
"20260401","2호선","신당","17213","17736","20260404",""
"20260401","2호선","상왕십리","16520","16540","20260404",""
"20260401","2호선","왕십리(성동구청)","19411","16910","20260404",""
"20260401","2호선","한양대","19773","21947","20260404",""
"20260401","2호선","뚝섬","28892","30580","20260404",""
"20260401","2호선","성수","56473","60741","20260404",""
"20260401","2호선","건대입구","42911","43692","20260404",""
"20260401","2호선","구의(광진구청)","32042","31570","20260404",""
"20260401","2호선","강변(동서울터미널)","27741","24460","20260404",""
"20260401","2호선","잠실나루","19167","18727","20260404",""
"20260401","2호선","잠실(송파구청)","99505","100110","20260404",""
"20260401","2호선","잠실새내","26952","26399","20260404",""
"20260401","2호선","종합운동장","22927","24980","20260404",""
"20260401","2호선","삼성(무역센터)","57973","58650","20260404",""
"20260401","2호선","선릉","66510","58689","20260404",""
"20260401","2호선","역삼","59865","67439","20260404",""
"20260401","2호선","강남","89533","87586","20260404",""
"20260401","2호선","교대(법원.검찰청)","36132","42870","20260404",""
"20260401","2호선","서초","25661","25795","20260404",""
"20260401","2호선","방배","22555","23123","20260404",""
"20260401","2호선","사당","45457","48869","20260404",""
"20260401","2호선","낙성대(강감찬)","32214","31986","20260404",""
"20260401","2호선","서울대입구(관악구청)","54044","52043","20260404",""
"20260401","2호선","봉천","27773","26174","20260404",""
"20260401","2호선","신림","61522","60655","20260404",""
"20260401","2호선","신대방","28288","27776","20260404",""
"20260401","2호선","구로디지털단지","66860","66217","20260404",""
"20260401","2호선","대림(구로구청)","28180","28706","20260404",""
"20260401","2호선","신도림","56619","54031","20260404",""
