year,line,total_passenger,daily_avg_passenger
2015,1호선,209611322,574277
2015,2호선,1136532805,3113788
2015,3호선,407149170,1115477
2015,4호선,447917398,1227170
2015,5호선,432004257,1183573
2015,6호선,252985992,693112
2015,7호선,525502631,1439733
2015,8호선,119346230,326975
2015,9호선,186857064,511937
2015,9호선2단계,15226405,54574
2015,경부선,371997160,1019170
2015,경원선,161326962,441991
2015,경의선,62890828,172303
2015,경인선,251311421,688524
2015,경춘선,26958381,73858
2015,공항철도 1호선,63406230,173715
2015,과천선,81579595,223505
2015,분당선,266980352,731453
2015,수인선,20170570,55261
2015,안산선,97430802,266933
2015,일산선,74566197,204290
2015,장항선,11037246,30239
2015,중앙선,72455470,198508
2016,1호선,209253173,571729
2016,2호선,1130426524,3088597
2016,3호선,407299680,1112840
2016,4호선,448404611,1225149
2016,5호선,432061467,1180495
2016,6호선,254863612,696348
2016,7호선,520579948,1422349
2016,8호선,122631543,335058
2016,9호선,189045279,516517
2016,9호선2단계,25498330,69667
2016,경강선,4123196,41648
2016,경부선,357754278,977470
2016,경원선,161197444,440430
2016,경의선,68772890,187904
2016,경인선,248641765,679349
2016,경춘선,27417864,74912
2016,공항철도 1호선,65153160,178014
2016,과천선,81536219,222776
2016,분당선,263101174,718855
2016,수인선,29761029,81314
2016,안산선,96766400,264389
2016,일산선,76961185,210276
2016,장항선,10988591,30023
2016,중앙선,72915115,199221
2017,1호선,199479727,546519
2017,2호선,1113126253,3049660
2017,3호선,406715835,1114289
2017,4호선,433640491,1188056
2017,5호선,430795143,1180260
2017,6호선,255195824,699166
2017,7호선,510012555,1397294
2017,8호선,128751279,352743
2017,9호선,191462937,524555
2017,9호선2단계,27695842,75879
2017,경강선,16698329,45748
2017,경부선,352559319,965915
2017,경원선,159248879,436298
2017,경의선,72380019,198301
2017,경인선,241796879,662457
2017,경춘선,28272132,77457
2017,공항철도 1호선,66555107,182342
2017,과천선,79694076,218339
2017,분당선,266247284,729444
2017,수인선,33663877,92229
2017,안산선,95566853,261826
2017,우이신설선,9065178,74918
2017,일산선,79400119,217534
2017,장항선,11237592,30787
2017,중앙선,71847163,196841
2018,1호선,196615316,538672
2018,2호선,1120273637,3069242
2018,3호선,409099330,1120820
2018,4호선,421192109,1153950
2018,5호선,434307063,1189882
2018,6호선,255959341,701258
2018,7호선,510947444,1399856
2018,8호선,134434784,368314
2018,9호선,193572786,530336
2018,9호선2~3단계,4375740,145858
2018,9호선2단계,26888891,80265
2018,경강선,18581284,50907
2018,경부선,351776416,963771
2018,경원선,156953542,430009
2018,경의선,73887964,202432
2018,경인선,235644775,645602
2018,경춘선,27826348,76236
2018,공항철도 1호선,74415089,203876
2018,과천선,79257283,217143
2018,분당선,269976956,739662
2018,수인선,32951445,90277
2018,안산선,94298244,258351
2018,우이신설선,29832523,81732
2018,일산선,80349866,220136
2018,장항선,10975449,30069
2018,중앙선,70454511,193026
2019,1호선,200161236,548386
2019,2호선,1127099473,3087943
2019,3호선,415110584,1137289
2019,4호선,422059263,1156326
2019,5호선,440703923,1207408
2019,6호선,257362720,705103
2019,7호선,516694675,1415601
2019,8호선,139411556,381949
2019,9호선,203031073,556249
2019,9호선2~3단계,60455327,165631
2019,경강선,20173748,55270
2019,경부선,356242087,976005
2019,경원선,157976732,432812
2019,경의선,77684253,212833
2019,경인선,234572651,642664
2019,경춘선,28440938,77920
2019,공항철도 1호선,82792657,226829
2019,과천선,80657892,220980
2019,분당선,277112719,759212
2019,수인선,33677875,92268
2019,안산선,94169739,257999
2019,우이신설선,31739954,86958
2019,일산선,82522907,226090
2019,장항선,11158329,30570
2019,중앙선,71555108,196041
2020,1호선,132923909,363180
2020,2호선,799725081,2185041
2020,3호선,295541844,807491
2020,4호선,287173787,784627
2020,5호선,341842279,933995
2020,6호선,186709722,510135
2020,7호선,396263941,1082688
2020,8호선,107526282,293787
2020,9호선,152781666,417436
2020,9호선2~3단계,49645106,135642
2020,경강선,15701799,42901
2020,경부선,250662831,684871
2020,경원선,114310555,312323
2020,경의선,58750467,160520
2020,경인선,166578817,455133
2020,경춘선,21326572,58269
2020,공항철도 1호선,52669657,143906
2020,과천선,55300230,151093
2020,분당선,205044950,560232
2020,수인선,26279784,71802
2020,안산선,68663703,187605
2020,우이신설선,24746419,67613
2020,일산선,60752957,165991
2020,장항선,6877542,18791
2020,중앙선,52522254,143503
2021,1호선,128142824,351076
2021,2호선,787069731,2156355
2021,3호선,298174971,816917
2021,4호선,282207751,773171
2021,5호선,367307040,1006320
2021,6호선,189516649,519223
2021,7호선,402285713,1102152
2021,8호선,109484692,299958
2021,9호선,159441609,436826
2021,9호선2~3단계,53804786,147410
2021,경강선,17250729,47262
2021,경부선,259415106,710726
2021,경원선,116937590,320376
2021,경의선,62918500,172379
2021,경인선,167266718,458264
2021,경춘선,23165625,63467
2021,공항철도 1호선,54213807,148530
2021,과천선,56877188,155827
2021,분당선,215996113,591770
2021,수인선,34393913,94229
2021,안산선,71537593,195993
2021,우이신설선,26176634,71716
2021,일산선,62846872,172183
2021,장항선,7827491,21445
2021,중앙선,54360720,148933
2022,1호선,147430160,403918
2022,2호선,889685775,2437495
2022,3호선,335375461,918836
2022,4호선,318122650,871568
2022,5호선,411031070,1126112
2022,6호선,214650717,588084
2022,7호선,379725996,1040345
2022,8호선,121745482,333549
2022,9호선,179791247,492578
2022,9호선2~3단계,63865526,174974
2022,경강선,20689919,56684
2022,경부선,297298449,814516
2022,경원선,131207545,359472
2022,경의선,72706940,199197
2022,경인선,181030789,495974
2022,경춘선,25797647,70678
2022,공항철도 1호선,68257663,187007
2022,과천선,67246825,184237
2022,분당선,243425542,666919
2022,수인선,39461818,108114
2022,신림선,14758648,67700
2022,안산선,79552998,217953
2022,우이신설선,29443816,80667
2022,일산선,69724441,191025
2022,장항선,10596664,29031
2022,중앙선,61308270,167967
2025,1호선,186041727,509703
2025,2호선,1009296435,2765195
2025,3호선,380925385,1043631
2025,4호선,379016173,1038400
2025,5호선,468135555,1282563
2025,6호선,243171924,666224
2025,7호선,411863574,1128393
2025,8호선,146503711,401380
2025,9호선,206030006,564465
2025,9호선2~3단계,82270963,225399
2025,경강선,24321074,66633
2025,경부선,326042730,893267
2025,경원선,143533572,393242
2025,경의선,79027997,216515
2025,경인선,186905066,512068
