year,line,station,total_passenger
2015,1호선,서울역,43676113
2015,2호선,강남,74645229
2015,3호선,고속터미널,42289365
2015,4호선,수유(강북구청),33598303
2015,5호선,광화문,26667385
2015,6호선,공덕,12776495
2015,7호선,가산디지털단지,29694419
2015,8호선,천호,14967428
2015,9호선,노량진,23200532
2015,9호선2단계,봉은사,4801444
2015,경부선,영등포,38801667
2015,경원선,의정부,17692839
2015,경의선,일산,6549133
2015,경인선,부천,31436016
2015,경춘선,평내호평,4053230
2015,공항철도 1호선,검암,11603938
2015,과천선,범계,23348031
2015,분당선,야탑,20812507
2015,수인선,인천논현,3630658
2015,안산선,상록수,15767433
2015,일산선,화정,14966292
2015,장항선,온양온천,3862341
2015,중앙선,회기,22175240
2016,1호선,서울역,43092352
2016,2호선,강남,73052316
2016,3호선,고속터미널,42629790
2016,4호선,수유(강북구청),33377035
2016,5호선,까치산,21338847
2016,6호선,이태원,12923467
2016,7호선,가산디지털단지,29294059
2016,8호선,암사,12064808
2016,9호선,신논현,21178993
2016,9호선2단계,봉은사,8527425
2016,경강선,경기광주,842182
2016,경부선,영등포,38900174
2016,경원선,의정부,17298052
2016,경의선,일산,6833071
2016,경인선,부천,30946800
2016,경춘선,평내호평,4181458
2016,공항철도 1호선,검암,9900780
2016,과천선,범계,22519318
2016,분당선,야탑,21067667
2016,수인선,인천논현,4346353
2016,안산선,상록수,15618858
2016,일산선,화정,14928826
2016,장항선,온양온천,3825062
2016,중앙선,회기,22086830
2017,1호선,서울역,77204392
2017,2호선,강남,147306968
2017,3호선,고속터미널,86872806
2017,4호선,혜화,63624666
2017,5호선,광화문(세종문화회관),54698708
2017,6호선,이태원,27219428
2017,7호선,가산디지털단지,56329936
2017,8호선,천호(풍납토성),28795252
2017,9호선,노량진,42592964
2017,9호선2단계,봉은사,18654074
2017,경강선,경기광주,7893820
2017,경부선,영등포,74675716
2017,경원선,의정부,33133474
2017,경의선,일산,13735822
2017,경인선,부천,61139902
2017,경춘선,평내호평,8704648
2017,공항철도 1호선,인천국제공항,23258618
2017,과천선,범계,43579042
2017,분당선,야탑,42437130
2017,수인선,인천논현,9463738
2017,안산선,상록수,30695306
2017,우이신설선,북한산보국문,2379762
2017,일산선,화정,29619276
2017,장항선,온양온천,7695730
2017,중앙선,회기,42664862
2018,1호선,서울역,39413236
2018,2호선,강남,74345089
2018,3호선,고속터미널,44020365
2018,4호선,혜화,31128342
2018,5호선,광화문(세종문화회관),26239353
2018,6호선,이태원,13711329
2018,7호선,가산디지털단지,28288410
2018,8호선,천호(풍납토성),14580589
2018,9호선,신논현,21800281
2018,9호선2~3단계,봉은사,1054081
2018,9호선2단계,봉은사,9375914
2018,경강선,경기광주,4540620
2018,경부선,영등포,36766669
2018,경원선,의정부,16199723
2018,경의선,일산,6812264
2018,경인선,부천,29733300
