year,station,total_passenger,daily_avg_passenger
2015,강남,74645229,204507
2015,고속터미널,69155328,189466
2015,잠실,66470977,182112
2015,서울역,65642462,179842
2015,홍대입구,61994242,169847
2015,사당,56410286,154548
2015,신림,53335614,146124
2015,노량진,51090507,139973
2015,신도림,49072957,134446
2015,건대입구,48263403,132228
2016,강남,73052316,199596
2016,고속터미널,71404481,195094
2016,홍대입구,65575353,179167
2016,서울역,64242966,175527
2016,잠실,55139955,189484
2016,사당,54848887,149860
2016,신림,52841470,144375
2016,신도림,48698202,133055
2016,건대입구,47983208,131101
2016,구로디지털단지,46331967,126590
2017,강남,73653484,201790
2017,잠실(송파구청),73561079,201537
2017,고속터미널,70538088,193255
2017,홍대입구,67433194,184748
2017,서울역,62202259,170417
2017,사당,52881248,144880
2017,신림,50813339,139214
2017,신도림,47302971,129597
2017,건대입구,46887495,128458
2017,구로디지털단지,45488495,124626
2018,잠실(송파구청),75532610,206938
2018,강남,74345089,203685
2018,고속터미널,70988348,194488
2018,홍대입구,69298445,189858
2018,서울역,66027339,180896
2018,사당,52523314,143899
2018,신림,50472113,138279
2018,건대입구,46525627,127467
2018,신도림,46198695,126571
2018,선릉,46167903,126487
2019,잠실(송파구청),74720293,204713
2019,강남,73630199,201726
2019,홍대입구,71976271,197195
2019,고속터미널,71662051,196334
2019,서울역,69888828,191476
2019,사당,53802888,147405
2019,신림,50650459,138768
2019,선릉,47721053,130742
2019,건대입구,46129791,126382
2019,신도림,45904915,125766
2020,강남,51897844,141797
2020,잠실(송파구청),49545768,135370
2020,고속터미널,44054606,120367
2020,서울역,42358521,115733
2020,홍대입구,41434419,113208
2020,선릉,38954176,106432
2020,신림,38837065,106112
2020,사당,37979396,103768
2020,구로디지털단지,35844251,97935
2020,가산디지털단지,35629468,97348
2021,잠실(송파구청),50014744,137026
2021,강남,48316992,132375
2021,고속터미널,44162248,120992
2021,서울역,41783872,114476
2021,홍대입구,40984211,112285
2021,선릉,38235777,104755
2021,신림,37994493,104094
2021,사당,36498154,99994
2021,가산디지털단지,36400663,99727
2021,구로디지털단지,35106106,96181
2022,잠실(송파구청),60624028,166093
2022,서울역,53349976,146164
2022,홍대입구,52697205,144375
2022,고속터미널,52696727,144374
2022,강남,51764650,141820
2022,사당,42905316,117548
2022,선릉,41853936,114668
2022,신림,39975593,109522
2022,가산디지털단지,37408464,102488
2022,구로디지털단지,36820457,100877
2025,서울역,80962766,221815
2025,잠실(송파구청),72358810,198243
2025,홍대입구,69017587,189089
2025,고속터미널,61734973,169136
2025,강남,55447943,151912
2025,사당,49007371,134266
2025,선릉,46214811,126615
2025,신림,40521564,111017
2025,여의도,40268502,110324
2025,가산디지털단지,40081033,109811
2026,서울역,27800850,231673
2026,잠실(송파구청),24522153,204351
2026,홍대입구,22944977,191208
2026,고속터미널,20374373,169786
2026,강남,18643396,155361
2026,사당,16384670,136538
2026,선릉,15259355,127161
2026,신림,13532152,112767
2026,여의도,13479685,112330
2026,가산디지털단지,13367604,111396
