year,station,total_passenger
2015,강남,74645229
2015,고속터미널,69155328
2015,잠실,66470977
2015,서울역,65642462
2015,홍대입구,61994242
2015,사당,56410286
2015,신림,53335614
2015,노량진,51090507
2015,신도림,49072957
2015,건대입구,48263403
2016,강남,73052316
2016,고속터미널,71404481
2016,홍대입구,65575353
2016,서울역,64242966
2016,잠실,55139955
2016,사당,54848887
2016,신림,52841470
2016,신도림,48698202
2016,건대입구,47983208
2016,구로디지털단지,46331967
2017,강남,147306968
2017,잠실(송파구청),147122158
2017,고속터미널,141076176
2017,홍대입구,134866388
2017,서울역,124404518
2017,사당,105762496
2017,신림,101626678
2017,신도림,94605942
2017,건대입구,93774990
2017,구로디지털단지,90976990
2018,잠실(송파구청),75532610
2018,강남,74345089
2018,고속터미널,70988348
2018,홍대입구,69298445
2018,서울역,66027339
2018,사당,52523314
2018,신림,50472113
2018,건대입구,46525627
2018,신도림,46198695
2018,선릉,46167903
2019,잠실(송파구청),74720293
2019,강남,73630199
2019,홍대입구,71976271
2019,고속터미널,71662051
2019,서울역,69888828
2019,사당,53802888
2019,신림,50650459
2019,선릉,47721053
2019,건대입구,46129791
2019,신도림,45904915
2020,강남,51897844
2020,잠실(송파구청),49545768
2020,고속터미널,44054606
2020,서울역,42358521
2020,홍대입구,41434419
2020,선릉,38954176
2020,신림,38837065
2020,사당,37979396
2020,구로디지털단지,35844251
2020,가산디지털단지,35629468
2021,잠실(송파구청),50014744
2021,강남,48316992
2021,고속터미널,44162248
2021,서울역,41783872
2021,홍대입구,40984211
2021,선릉,38235777
2021,신림,37994493
2021,사당,36498154
2021,가산디지털단지,36400663
2021,구로디지털단지,35106106
2022,잠실(송파구청),60624028
2022,서울역,53349976
2022,홍대입구,52697205
2022,고속터미널,52696727
2022,강남,51764650
2022,사당,42905316
2022,선릉,41853936
2022,신림,39975593
2022,가산디지털단지,37408464
2022,구로디지털단지,36820457
2025,서울역,62233146
2025,잠실(송파구청),55514106
2025,홍대입구,52536885
2025,고속터미널,47219307
2025,강남,42021404
2025,사당,37326782
2025,선릉,35212001
2025,신림,30847532
2025,여의도,30616651
2025,가산디지털단지,30401616
2026,서울역,27800850
2026,잠실(송파구청),24522153
2026,홍대입구,22944977
2026,고속터미널,20374373
2026,강남,18643396
2026,사당,16384670
2026,선릉,15259355
2026,신림,13532152
2026,여의도,13479685
2026,가산디지털단지,13367604
